,SEQN,Spending_on_nonfood,Spending_on_eating_out,Spending_on_carryout_deliverred,Spending_on_food,age
7798,101984.0,0.09645817633760362,0.25772418990203466,4.067524752776208e-82,0.6458176337603617,7.0
7799,101985.0,0.2499968750359371,0.2499968750359371,1.2499856251653106e-05,0.4999937500718742,27.0
7800,101986.0,2.840844919438962e-81,0.10526315789473684,0.10526315789473684,0.7894736842105263,19.0
7801,101987.0,0.1951219512195122,0.04878048780487805,0.024390243902439025,0.7317073170731707,66.0
7802,101988.0,9.306216115403496e-82,0.10344827586206896,0.034482758620689655,0.8620689655172413,12.0
7803,101989.0,6.937796075750678e-82,0.1928020565552699,6.937796075750678e-82,0.8071979434447301,80.0
7804,101990.0,3.7431382433661775e-82,0.29680998613037446,0.14840499306518723,0.5547850208044383,23.0
7805,101993.0,8.304008226052351e-82,0.46153846153846156,8.304008226052351e-82,0.5384615384615385,67.0
7806,101994.0,0.10204081632653061,0.05102040816326531,0.030612244897959183,0.8163265306122449,5.0
7807,101995.0,0.22972972972972974,1.4588122559281157e-81,1.4588122559281157e-81,0.7702702702702703,59.0
7808,101996.0,6.747006683667535e-82,6.747006683667535e-82,6.747006683667535e-82,1.0,12.0
7809,101997.0,1.4828586117950627e-81,0.13736263736263737,1.4828586117950627e-81,0.8626373626373627,14.0
7810,101998.0,0.05660377358490566,0.09433962264150944,0.09433962264150944,0.7547169811320755,4.0
7811,101999.0,0.18181818181818182,0.18181818181818182,0.045454545454545456,0.5909090909090909,6.0
7812,102000.0,0.09523809523809523,0.19047619047619047,1.0281153041779101e-81,0.7142857142857142,63.0
7813,102001.0,0.1509433962264151,0.14150943396226415,0.04716981132075472,0.660377358490566,63.0
7814,102002.0,0.08241758241758242,0.09615384615384616,1.4828586117950627e-81,0.8214285714285715,77.0
7815,102003.0,0.14285714285714285,0.19047619047619047,5.1405765208895504e-82,0.6666666666666666,25.0
7816,102004.0,4.906913951758207e-82,0.18181818181818182,0.09090909090909091,0.7272727272727273,13.0
7817,102005.0,7.274400737107855e-82,0.0673854447439353,0.0673854447439353,0.8652291105121294,36.0
7818,102007.0,0.0889443059019119,2.2433937435303524e-82,0.020781379883624274,0.8902743142144638,55.0
7819,102008.0,0.09009009009009009,0.18018018018018017,0.05405405405405406,0.6756756756756757,47.0
7820,102009.0,5.681689838877924e-82,0.42105263157894735,0.05263157894736842,0.5263157894736842,11.0
7821,102010.0,7.19680712924537e-82,0.13333333333333333,7.19680712924537e-82,0.8666666666666667,10.0
7822,102011.0,,,,,1.0
7823,102012.0,7.102112298597405e-82,0.06578947368421052,0.02631578947368421,0.9078947368421052,48.0
7824,102013.0,0.05647840531561462,0.0664451827242525,0.013289036544850499,0.8637873754152824,6.0
7825,102014.0,8.178189919597012e-82,0.09090909090909091,8.178189919597012e-82,0.9090909090909092,2.0
7826,102015.0,9.638580976667907e-82,0.10714285714285714,9.638580976667907e-82,0.8928571428571429,20.0
7827,102016.0,3.000336490791566e-82,0.4046692607003891,3.000336490791566e-82,0.5953307392996109,8.0
7828,102017.0,0.08528198074277854,0.020174232003668042,2.474830512120141e-82,0.8945437872535533,11.0
7829,102018.0,7.102112298597405e-82,0.29605263157894735,0.21052631578947367,0.493421052631579,69.0
7830,102019.0,0.2,0.2,0.2,0.4,19.0
7831,102021.0,0.21978021978021978,0.16483516483516483,2.9657172235901254e-81,0.6153846153846154,65.0
7832,102022.0,7.496674092963928e-82,0.2777777777777778,0.027777777777777776,0.6944444444444444,46.0
7833,102023.0,0.09615384615384616,0.16025641025641027,4.325004284402266e-82,0.7435897435897436,5.397605346934028e-79
7834,102024.0,6.747006683667535e-82,0.1875,0.0625,0.75,37.0
7835,102026.0,1.6112254766967248e-81,0.22388059701492538,0.029850746268656716,0.7462686567164178,24.0
7836,102027.0,0.2976190476190476,0.10714285714285714,2.141906883703979e-81,0.5952380952380952,67.0
7837,102028.0,8.996008911556714e-82,0.16666666666666666,8.996008911556714e-82,0.8333333333333334,24.0
7838,102029.0,4.3458980249066247e-82,0.5169082125603864,4.3458980249066247e-82,0.4830917874396135,2.0
7839,102030.0,2.840844919438962e-82,0.07894736842105263,2.840844919438962e-82,0.9210526315789473,50.0
7840,102031.0,1.196808280916636e-81,0.06651884700665188,0.22172949002217296,0.7117516629711752,61.0
7841,102032.0,2.044547479899253e-81,0.1893939393939394,2.044547479899253e-81,0.8106060606060607,67.0
7842,102033.0,8.790888187188971e-82,0.3485342019543974,0.16286644951140064,0.48859934853420195,5.0
7843,102034.0,1.255257057426518e-81,0.46511627906976744,0.23255813953488372,0.3023255813953488,5.397605346934028e-79
7844,102035.0,0.09090909090909091,0.36363636363636365,0.12121212121212122,0.42424242424242425,32.0
7845,102037.0,1.0795210693868056e-81,1.0,1.0795210693868056e-81,2.159042138773611e-81,21.0
7846,102038.0,0.018300653594771243,0.37342047930283223,0.032679738562091505,0.575599128540305,5.0
7847,102039.0,8.128923715262091e-82,0.32228915662650603,8.128923715262091e-82,0.6777108433734941,22.0
7848,102040.0,3.9982261829140945e-82,0.37037037037037035,0.07407407407407407,0.5555555555555556,10.0
7849,102041.0,,,,,42.0
7850,102043.0,7.19680712924537e-82,0.4,7.19680712924537e-82,0.6,5.0
7851,102044.0,3.175061968784722e-82,0.5882352941176471,3.175061968784722e-82,0.4117647058823529,33.0
7852,102045.0,8.996008911556714e-82,0.16666666666666666,8.996008911556714e-82,0.8333333333333334,55.0
7853,102046.0,5.397605346934028e-82,5.397605346934028e-82,5.397605346934028e-82,1.0,32.0
7854,102047.0,0.1826086956521739,0.09130434782608696,0.10869565217391304,0.6173913043478261,62.0
7855,102048.0,2.522245489221508e-81,2.522245489221508e-81,2.522245489221508e-81,1.0,78.0
7856,102049.0,0.2,0.2,0.2,0.4,6.0
7857,102050.0,9.38713973379831e-82,0.17391304347826086,9.38713973379831e-82,0.8260869565217391,47.0
7858,102051.0,0.15254237288135594,0.1784121320249777,0.04460303300624442,0.6244424620874219,16.0
7859,102052.0,5.681689838877924e-82,0.15789473684210525,5.681689838877924e-82,0.8421052631578947,80.0
