,SEQN,Spending_on_nonfood,Spending_on_eating_out,Spending_on_carryout_deliverred,Spending_on_food
5845,99548.0,0.06868131868131869,0.3434065934065934,7.414293058975314e-82,0.5879120879120879
5846,99549.0,0.03825554705432287,0.22953328232593725,2.0648834533029945e-82,0.7322111706197398
5847,99550.0,0.20689655172413793,0.10344827586206896,3.722486446161398e-82,0.6896551724137931
5848,99551.0,2.378847662817994e-82,0.377699427060379,0.05641251652710445,0.5658880564125165
5849,99552.0,6.425720651111939e-82,6.425720651111939e-82,6.425720651111939e-82,1.0
5850,99553.0,5.397605346934028e-82,0.3,0.1,0.6
5851,99554.0,0.12658227848101267,0.06329113924050633,1.3664823663124121e-81,0.8101265822784811
5852,99555.0,0.10695187165775401,0.10695187165775401,0.053475935828877004,0.7326203208556149
5853,99556.0,7.294061279640579e-82,0.05405405405405406,0.13513513513513514,0.8108108108108109
5854,99557.0,7.710864781334326e-82,7.710864781334326e-82,7.710864781334326e-82,1.0
5855,99558.0,4.1520041130261753e-82,0.38461538461538464,4.1520041130261753e-82,0.6153846153846154
5856,99559.0,0.06536346976175932,0.07330482590103848,0.07635919364691508,0.7849725106902872
5857,99560.0,7.009877073940296e-82,7.009877073940296e-82,7.009877073940296e-82,1.0
5858,99561.0,0.20689655172413793,3.722486446161398e-82,0.034482758620689655,0.7586206896551725
5859,99562.0,9.813827903516414e-82,0.09090909090909091,0.09090909090909091,0.8181818181818182
5860,99563.0,0.08379888268156424,0.3575418994413408,1.507710990763695e-81,0.5586592178770949
5861,99564.0,0.15625,0.0234375,8.433758354584419e-82,0.8203125
5862,99565.0,0.08333333333333333,0.08333333333333333,2.2490022278891783e-81,0.8333333333333334
5863,99566.0,5.681689838877924e-82,0.3157894736842105,0.21052631578947367,0.47368421052631576
5864,99567.0,0.30902527075812275,0.07220216606498195,3.8971879761256517e-82,0.6187725631768953
5865,99568.0,7.949345135396212e-82,0.6627393225331369,7.949345135396212e-82,0.337260677466863
5866,99569.0,6.582445545041497e-82,0.04878048780487805,0.21951219512195122,0.7317073170731707
5867,99570.0,,,,
5868,99571.0,0.0001997954095006713,7.492327856275174e-05,4.994885237516783e-05,0.9996753324595614
5869,99572.0,0.1935483870967742,1.741163015140009e-81,1.741163015140009e-81,0.8064516129032258
5870,99573.0,0.0821917808219178,0.16634050880626222,0.16634050880626222,0.5851272015655578
